msoa,Aged 0 to 15,Aged 16 to 24,Aged 25 to 34,Aged 35 to 49,Aged 50 to 64,Aged 65 to 74,Aged 75 to 84,Aged 85 and over
E02002985,0,1,0,1,12,4,8,10
E02002986,0,0,0,0,0,0,2,2
E02002987,0,0,0,0,3,3,3,1
E02002988,0,0,0,0,0,4,12,8
E02002989,0,0,0,0,0,0,1,4
E02002990,0,5,0,1,0,0,0,0
E02002991,54,81,24,13,16,2,6,2
E02002992,0,6,5,3,10,1,0,2
E02002993,0,287,19,1,1,3,0,8
E02002994,58,69,0,5,0,3,3,6
E02002995,0,49,11,11,19,8,15,5
E02002996,32,1584,67,5,6,7,4,5
E02002997,0,190,7,0,0,5,16,10
E02002998,0,0,2,0,2,1,4,0
E02002999,0,0,0,0,0,0,0,0
E02003000,0,0,2,8,15,3,4,10
E02003001,0,5,0,0,1,2,11,15
E02003002,20,0,0,0,0,0,0,0
E02003003,0,0,6,0,0,2,4,6
E02003004,0,0,1,2,6,5,6,6
E02003005,0,0,0,0,1,0,0,1
E02003006,0,441,7,0,0,0,0,0
E02003007,0,0,0,0,0,0,4,8
E02003008,0,2,3,2,1,0,1,0
E02003009,0,0,0,0,1,2,1,2
E02003010,4,3,6,2,3,0,3,0
E02003011,0,0,4,4,6,1,0,2
E02003012,0,3,4,11,11,9,5,1
E02003013,0,0,0,3,5,6,9,7
E02003014,0,0,1,0,3,1,0,0
E02003015,0,0,3,2,4,2,0,0
E02003016,0,0,0,0,2,5,2,3
E02003017,0,0,0,0,0,14,8,19
E02003018,0,0,0,0,0,0,0,0
E02003019,0,2,5,7,3,10,8,6
E02003020,0,0,0,0,6,14,24,37
E02003021,0,0,2,7,10,2,2,10
E02003022,0,0,0,1,0,0,0,0
E02003023,0,110,7,1,1,11,11,15
E02003024,0,15,29,36,26,20,16,10
E02003025,0,0,3,2,10,9,13,9
E02003026,0,1181,6,1,7,4,14,10
E02003027,0,36,92,89,29,1,0,0
E02003028,0,1,10,1,6,7,14,17
E02003029,0,1,0,4,5,1,0,0
E02003030,0,4,11,11,7,6,0,0
E02003031,0,60,2,0,3,5,0,1
E02003032,0,0,0,0,4,2,1,0
E02003033,0,0,0,6,2,1,2,1
E02003036,0,417,42,5,6,4,1,1
E02003037,0,72,11,2,2,0,0,0
E02003038,0,0,0,0,3,2,5,0
E02003039,0,0,1,2,9,13,19,2
E02003040,0,1,0,0,2,5,17,14
E02003041,74,108,5,4,1,0,0,0
E02003044,0,0,3,2,5,2,0,0
E02003045,3,388,33,3,2,0,0,0
E02003046,0,1,4,0,5,3,3,0
E02003047,0,5,7,1,2,4,3,4
E02003048,0,0,0,0,0,0,0,0
E02003049,0,0,10,28,17,0,0,0
E02003050,0,0,4,12,14,12,8,7
E02003051,0,0,0,0,0,0,0,0
E02003052,0,0,0,0,0,0,1,0
E02003053,0,0,6,10,2,0,1,0
E02003054,0,1,18,13,19,10,8,8
E02003055,0,0,0,2,0,0,0,0
E02003056,0,0,0,0,0,0,0,0
E02003057,0,0,0,0,4,1,6,5
E02003058,0,3,0,0,0,3,8,6
E02003059,0,0,0,0,0,0,0,0
E02003060,0,0,0,0,0,5,11,12
E02003061,0,0,0,0,1,2,0,0
E02003062,0,0,1,2,0,5,5,4
E02003063,0,0,0,0,0,0,0,0
E02003064,1,0,0,1,2,3,0,0
E02003065,0,0,3,0,0,0,2,0
E02003066,0,0,0,0,0,0,4,7
E02003067,0,0,0,0,0,1,6,10
E02003068,0,20,0,0,0,0,0,0
E02003069,0,0,0,1,2,6,12,24
E02003070,0,0,1,0,2,4,12,8
E02003071,0,0,0,1,0,1,10,19
E02003072,0,4,0,0,0,0,4,5
E02003073,0,0,0,0,0,0,0,0
E02003074,0,0,0,4,4,6,1,0
E02003075,0,1,6,0,8,0,0,0
E02003076,0,0,0,0,0,2,5,8
E02003077,1,0,0,0,3,0,0,0
E02003078,0,0,0,0,1,4,6,3
E02003079,0,0,0,0,0,0,0,0
E02003080,0,0,0,2,3,0,3,0
E02003081,0,0,0,0,0,0,0,0
E02003082,0,20,9,15,19,31,27,40
E02003084,2,7,4,20,52,50,36,24
E02003085,0,11,1,3,1,0,0,0
E02003086,0,4,10,3,26,19,30,49
E02003087,0,0,1,0,1,2,0,0
E02003088,9,31,0,2,4,3,14,17
E02003089,0,0,4,8,7,1,1,2
E02003090,2,1,8,6,1,3,1,11
E02003091,0,0,0,0,0,1,0,4
E02003092,0,2,75,141,185,55,20,3
E02003093,0,2,2,3,3,0,2,5
E02003094,0,0,0,0,0,2,2,10
E02003095,0,0,0,0,4,3,12,6
E02003096,0,0,0,0,0,0,3,11
E02003097,0,0,0,0,0,0,1,2
E02003098,0,0,0,0,0,0,0,0
E02003099,0,0,0,0,2,1,3,8
E02003101,0,0,0,0,0,0,0,0
E02003102,0,0,0,0,0,1,2,1
E02003103,0,0,0,0,0,0,0,0
E02003104,0,0,0,0,0,0,0,0
E02003105,0,2,1,6,8,9,8,14
E02003107,0,2,0,0,6,1,1,0
E02003108,0,11,90,109,113,38,32,9
E02003109,0,0,0,0,0,0,0,0
E02003110,2,3,0,0,0,0,3,11
E02003111,0,2,22,31,10,10,13,13
E02003112,0,4,2,0,0,0,0,0
E02003113,0,1,0,2,0,1,0,3
E02003114,0,0,0,0,1,3,1,4
E02003115,0,0,0,1,2,4,16,14
E02003116,0,0,5,2,4,1,11,15
E02003117,0,0,6,0,2,6,12,9
E02003118,0,0,5,3,19,6,6,12
E02003119,0,0,0,0,13,2,10,7
E02003120,0,1,2,0,0,0,0,0
E02003121,0,0,0,0,0,0,0,0
E02003122,0,0,0,2,3,1,9,2
E02003123,0,0,0,0,0,0,0,0
E02003124,0,0,1,2,0,3,4,4
E02003125,0,0,0,0,0,4,8,5
E02003126,0,145,7,0,1,0,4,6
E02003127,0,0,0,5,4,2,6,1
E02003128,0,0,1,3,11,8,8,9
E02003129,0,0,0,0,0,0,0,0
E02003130,0,0,0,0,0,0,0,0
E02003131,0,0,0,0,0,0,0,0
E02003132,0,0,0,0,1,0,1,6
E02003133,0,0,0,0,6,5,3,2
E02003134,0,0,0,0,0,0,0,0
E02003135,0,63,57,37,5,0,0,0
E02003136,0,0,1,3,9,8,17,16
E02003137,0,0,0,0,2,10,35,47
E02003138,0,0,0,0,0,0,0,1
E02003139,0,0,2,0,0,0,1,0
E02003140,0,0,0,5,3,5,9,13
E02003141,0,0,0,2,24,23,25,11
E02003142,0,0,0,0,0,0,0,0
E02003143,0,0,0,0,0,0,0,0
E02003144,29,293,18,14,6,13,26,18
E02003145,0,99,20,9,23,18,21,19
E02003146,0,114,22,8,16,6,5,1
E02003147,0,0,2,14,0,0,5,3
E02003148,0,1232,147,21,0,1,1,0
E02003149,0,2,1,3,3,0,1,1
E02003151,0,0,0,1,1,6,12,19
E02003152,0,1,2,5,2,2,8,10
E02003153,0,0,0,2,3,0,1,8
E02003154,0,1,0,1,2,3,2,0
E02003155,0,1,1,2,4,16,19,19
E02003156,0,0,0,3,0,0,0,0
E02003157,3,0,0,4,7,3,0,3
E02003158,0,1,3,0,3,7,9,22
E02003159,0,0,0,0,5,3,2,2
E02003161,2,6,6,14,13,3,2,7
E02003163,0,1,1,32,51,44,31,43
E02003164,1,0,9,14,9,22,7,8
E02003165,0,0,0,0,0,3,23,16
E02003166,0,0,0,1,0,0,1,0
E02003167,0,10,7,7,13,16,30,33
E02003168,0,0,0,1,1,0,4,3
E02003169,0,0,0,0,2,0,11,12
E02003170,2,0,2,3,3,4,5,2
E02003171,0,0,0,0,3,1,4,16
E02003172,0,0,0,1,1,0,0,0
E02003173,0,0,0,0,0,2,7,7
E02003174,0,0,1,3,2,3,0,0
E02003175,0,3,0,7,5,2,1,2
E02003176,0,0,0,2,5,2,0,0
E02003177,0,0,0,0,3,0,0,0
E02003178,0,2,1,1,0,2,3,4
E02003179,0,0,0,0,1,0,1,3
E02003180,0,44,11,1,0,0,0,0
E02003181,0,5,0,1,4,3,2,14
E02003182,0,1,1,0,0,0,0,3
E02003183,0,12,9,7,3,5,6,16
E02003184,3,22,1,1,8,5,5,4
E02003185,0,0,0,3,3,1,3,0
E02003186,0,12,0,3,0,0,0,0
E02003187,5,20,1,2,16,3,8,11
E02003188,0,997,59,41,20,6,3,12
E02003189,0,15,4,10,10,11,17,18
E02003190,2,10,7,35,45,33,11,20
E02003191,0,0,0,6,3,6,7,8
E02003192,3,1228,59,39,36,12,6,25
E02003194,103,128,7,15,6,2,4,0
E02003195,0,3,4,0,1,1,3,1
E02003196,0,0,0,1,3,5,3,19
E02003197,0,0,0,0,0,0,0,0
E02003198,0,0,0,0,2,3,11,7
E02003199,0,0,0,0,0,0,3,10
E02003200,0,5,2,0,1,2,0,5
E02003201,0,3,6,1,2,0,0,0
E02003202,0,87,9,8,0,0,2,2
E02003203,0,0,0,1,2,0,1,0
E02003204,0,2,0,1,4,4,16,19
E02003205,0,0,0,0,0,0,0,0
E02003206,0,0,8,1,8,0,6,3
E02003207,0,15,49,38,2,0,0,0
E02003208,5,101,11,5,4,8,12,11
E02003209,0,0,0,0,0,3,5,7
E02003210,0,0,0,0,1,2,4,16
E02003211,0,8,6,12,13,21,15,28
E02003212,0,0,0,1,0,2,1,3
E02003214,1,2,1,0,0,0,0,0
E02003215,0,0,0,0,0,2,5,6
E02003216,0,0,11,0,4,0,0,0
E02003217,0,0,0,1,2,0,3,2
E02003218,0,3,4,2,0,3,0,0
E02003219,0,5,3,0,9,11,5,14
E02003220,0,0,4,0,4,10,7,16
E02003221,0,1,0,0,0,0,0,0
E02003222,0,0,0,0,0,0,0,0
E02003223,0,0,0,0,0,0,0,0
E02003224,0,0,0,0,0,0,0,0
E02003225,0,0,3,0,0,0,0,0
E02003226,0,0,7,3,7,5,1,0
E02003227,0,0,0,0,1,0,0,0
E02003228,0,0,0,0,0,0,0,0
E02003229,0,0,1,0,1,2,0,0
E02003230,0,15,7,14,19,11,20,12
E02003231,0,2,0,0,3,4,2,4
E02003232,0,20,4,8,14,4,8,7
E02003233,0,0,0,0,0,0,0,0
E02003234,0,1,1,5,4,5,5,3
E02003235,0,0,0,2,3,1,5,2
E02003236,0,2,0,0,2,6,11,11
E02003892,2,2,4,2,0,0,0,0
E02003893,0,0,0,0,2,0,1,0
E02003894,0,0,0,1,3,4,11,9
E02003895,0,2,2,1,0,4,4,3
E02003896,0,0,1,6,7,5,7,8
E02003897,0,0,0,0,0,4,6,5
E02003898,0,0,0,0,0,1,2,8
E02003899,0,0,0,0,0,2,2,16
E02003900,0,0,0,0,0,2,6,2
E02003901,0,0,0,2,1,3,7,16
E02003902,0,0,2,0,4,2,9,8
E02003903,0,6,9,2,1,0,1,3
E02003904,0,1,0,0,5,9,3,6
E02003905,0,0,5,7,9,2,3,2
E02003906,0,1,8,5,2,0,12,9
E02003907,0,0,3,0,1,2,0,4
E02003908,8,17,0,0,4,1,2,3
E02003909,0,55,33,10,8,6,14,21
E02003910,0,13,2,5,3,0,2,14
E02003911,0,1,3,3,3,1,0,0
E02003912,0,0,0,3,3,4,8,9
E02003913,2,0,2,2,0,0,0,0
E02003914,2,173,4,2,2,0,0,0
E02003915,0,92,0,5,0,0,1,3
E02003916,0,155,20,2,7,10,9,13
E02003917,0,0,0,0,0,0,0,0
E02003918,0,0,5,1,0,0,1,1
E02003919,0,0,0,0,0,0,7,2
E02003920,0,2,1,0,1,2,7,9
E02003921,4,2,0,0,0,1,2,3
E02003922,0,3,0,3,0,1,0,0
E02003923,0,1,7,3,12,7,3,6
E02003924,0,0,0,2,4,17,19,12
E02003925,0,0,0,0,2,2,0,4
E02003926,0,2,5,5,5,0,1,2
E02003927,0,553,20,3,0,0,2,7
E02003928,0,0,0,1,2,4,6,5
E02003929,0,0,0,3,2,4,1,0
E02003930,0,22,20,8,5,2,6,15
E02003931,0,0,0,0,3,1,10,12
E02003932,0,0,7,4,4,3,5,14
E02003933,0,0,0,2,4,1,0,2
E02003934,0,0,0,0,0,0,3,4
E02003935,0,0,0,1,17,17,22,25
E02003936,0,31,10,10,16,6,19,11
E02003937,1,0,0,4,2,3,8,9
E02003938,0,2,3,2,3,0,0,0
E02003939,0,0,0,0,2,0,4,5
E02003940,0,0,1,0,3,3,9,5
E02003941,0,5,6,7,9,9,10,11
E02003942,0,1,3,3,1,1,0,2
E02003943,1,1,0,0,0,5,4,2
E02003944,0,0,2,2,1,15,10,16
E02003945,0,0,0,0,5,4,3,5
E02003946,0,0,0,0,4,6,3,9
E02003947,0,0,1,1,7,8,11,10
E02003948,0,8,2,0,1,0,5,7
E02003949,0,2,1,2,3,4,6,7
E02003950,0,0,0,0,1,1,0,6
E02003951,0,1,0,0,0,1,7,3
E02003952,0,12,13,24,10,3,0,1
E02003953,0,1,0,3,2,3,9,6
E02003954,0,2,6,3,18,12,15,17
E02003955,0,3,4,7,4,4,2,3
E02003956,0,0,0,2,1,0,2,3
E02003957,0,0,0,0,4,0,5,8
E02003958,0,1,1,1,0,0,0,0
E02003959,0,0,0,0,0,1,3,12
E02003960,0,0,0,0,3,10,11,12
E02003961,0,0,0,0,4,1,0,0
E02003962,0,1,0,0,4,4,9,4
E02003963,0,2,2,3,4,8,19,25
E02003964,0,0,0,0,0,1,4,6
E02004129,8,6,4,4,8,3,0,2
E02004130,0,0,0,0,0,1,7,9
E02004131,0,0,0,0,0,3,9,6
E02004132,0,0,0,0,0,0,1,4
E02004133,1,0,0,2,2,3,11,13
E02004135,0,0,8,3,1,3,5,18
E02004136,0,0,0,0,1,0,5,6
E02004137,0,2,0,0,2,0,2,3
E02004138,0,0,0,4,2,9,19,38
E02004139,0,0,0,0,0,0,4,5
E02004140,0,4,1,2,5,1,9,13
E02004141,0,37,6,12,11,3,2,3
E02004142,0,476,198,26,0,0,1,1
E02004143,0,1,0,0,0,2,8,4
E02004144,0,2,0,5,5,5,3,5
E02004145,0,0,0,0,2,1,9,16
E02004146,0,0,0,0,0,2,0,0
E02004147,0,2,5,3,4,1,0,2
E02004148,3,16,3,2,1,9,19,37
E02004149,0,2127,101,9,3,1,12,6
E02004150,4,1,3,1,7,1,0,1
E02004151,0,0,2,3,0,2,5,5
E02004152,0,403,118,115,42,8,13,10
E02004153,0,0,0,0,0,0,0,0
E02004154,0,123,9,2,2,0,1,5
E02004155,0,0,0,1,0,1,0,0
E02004156,6,1003,136,46,20,1,1,0
E02004157,0,9,0,0,4,4,9,23
E02004158,0,3,3,3,8,2,0,0
E02004159,2,12,13,0,0,0,0,0
E02004160,0,0,0,0,1,2,8,15
E02004161,0,1,5,0,2,1,0,5
E02004162,0,2,0,4,2,12,26,15
E02004163,0,2,2,4,13,0,0,0
E02004164,0,1,0,0,3,0,1,5
E02004165,0,0,0,0,3,1,4,7
E02004166,0,2,1,0,0,0,3,1
E02004167,40,57,3,5,1,0,2,3
E02004168,0,2,0,0,0,0,0,1
E02004169,0,0,2,1,0,1,1,2
E02004170,0,0,0,4,0,7,8,14
E02004171,0,0,0,1,5,5,1,0
E02004172,0,11,8,0,0,2,0,0
E02004173,0,3,2,5,9,6,4,9
E02004174,0,0,0,7,2,0,0,4
E02004175,0,0,0,4,11,18,10,11
E02004176,2,5,5,1,0,3,0,3
E02004177,0,0,0,0,0,3,10,7
E02004178,0,1,1,1,3,8,3,3
E02004179,0,125,140,27,4,6,10,13
E02004180,0,0,0,0,0,3,6,10
E02004181,0,0,6,5,0,1,0,2
E02004182,0,5,0,0,1,0,1,3
E02004183,0,0,0,3,5,7,9,6
E02004184,0,0,0,0,15,14,5,4
E02004185,0,0,0,3,4,5,5,2
E02004186,0,0,0,0,0,1,0,0
E02004187,20,35,1,6,8,10,14,8
E02004188,0,1,5,2,4,2,5,6
E02004189,0,0,0,1,7,11,20,5
E02004190,0,0,4,5,5,6,6,5
E02004191,0,0,1,10,10,0,0,1
E02004192,4,0,0,0,2,1,1,0
E02004193,0,1,7,0,3,6,12,11
E02004194,1,3,1,0,0,1,6,12
E02004195,0,80,35,14,0,1,4,11
E02004196,0,1,1,1,2,4,5,6
E02004197,0,0,0,0,0,1,1,5
E02004198,0,0,0,0,0,1,5,11
E02004199,0,0,2,2,0,0,1,3
E02004200,3,1,4,2,2,0,0,0
E02004201,0,0,2,2,1,1,3,7
E02004202,0,2,2,2,0,3,3,4
E02004203,0,0,0,0,0,1,3,11
E02004204,1,1,5,6,0,0,1,0
E02004205,0,6,9,26,22,11,7,2
E02004206,5,2,0,6,10,18,16,19
E02004207,0,0,1,0,0,0,0,0
E02004208,3,2,3,7,1,1,7,7
E02004209,0,0,0,0,0,3,9,10
E02004210,0,0,5,10,6,6,15,10
E02004211,0,0,0,0,0,0,4,15
E02004212,0,0,2,3,0,0,8,8
E02004213,9,62,209,193,95,34,13,10
E02004214,0,7,2,0,3,2,0,1
E02004215,0,0,0,5,4,10,11,11
E02004216,0,0,0,0,1,0,0,0
E02004217,0,1,0,0,2,3,5,11
E02004218,0,0,0,1,1,0,0,0
E02004219,0,0,0,0,0,2,7,9
E02004220,0,0,2,1,9,5,6,4
E02004221,0,5,2,5,7,4,3,24
E02004222,16,17,2,1,0,1,0,0
E02004223,0,4,6,3,7,13,3,4
E02004224,0,0,0,0,1,0,4,10
E02004225,0,0,0,1,2,4,10,18
E02004226,0,0,0,0,0,0,1,4
E02004227,0,2,0,1,7,10,6,9
E02004228,8,21,6,2,0,3,4,5
E02004229,0,0,4,16,4,6,9,12
E02004230,0,0,0,3,2,4,3,2
E02004231,1,46,157,171,99,44,29,6
E02004232,0,0,2,0,1,0,5,14
E02004233,45,62,3,10,17,3,9,7
E02004234,2,2,2,2,7,8,16,10
E02004235,0,0,0,0,1,3,1,16
E02004236,0,0,0,0,0,0,3,12
E02004237,0,0,0,0,2,9,12,16
E02004238,0,1,3,2,4,0,6,12
E02004239,0,2,3,0,1,1,2,5
E02004240,0,0,0,0,0,0,0,0
E02004241,0,0,2,0,1,5,10,7
E02004242,0,0,0,0,0,0,3,9
E02004243,0,0,0,1,0,2,0,0
E02004244,0,0,0,0,0,3,9,3
E02004245,0,0,0,0,0,1,8,8
E02004246,5,5,0,1,0,8,10,12
E02004247,0,0,0,0,0,0,3,6
E02004248,0,0,0,0,0,3,5,11
E02004249,0,0,0,1,0,0,0,0
E02004250,0,1,1,1,3,3,9,7
E02004251,0,0,0,0,0,0,2,4
E02004252,0,5,2,0,3,3,11,9
E02004253,0,0,0,0,3,3,10,30
E02004254,0,0,0,0,0,0,0,0
E02004255,0,0,2,4,6,7,1,11
E02004256,16,4,0,0,1,0,4,3
E02004257,5,8,1,0,0,0,7,13
E02004258,0,0,11,6,1,5,10,21
E02004259,81,114,185,131,38,6,1,6
E02004260,143,535,133,34,2,0,2,6
E02004261,0,0,0,0,0,4,10,17
E02004262,55,54,5,3,6,1,1,0
E02004263,0,0,0,0,0,0,0,4
E02004264,0,0,0,0,0,3,7,4
E02004265,1,0,0,0,0,2,5,6
E02004266,0,210,52,24,2,0,1,0
E02004267,3,3,3,6,1,5,5,1
E02004268,11,10,2,1,8,6,15,11
E02004269,242,218,8,11,6,2,7,21
E02004270,7,2,2,1,0,0,2,5
E02004271,0,1,2,2,3,2,4,2
E02004272,0,1,6,6,10,8,18,16
E02004273,2,1,2,1,0,2,8,9
E02004274,0,0,0,0,0,1,4,5
E02004275,0,0,0,0,0,1,2,0
E02004276,0,0,0,0,0,2,7,8
E02004278,0,0,1,0,0,0,0,0
E02004279,0,0,0,0,1,4,2,8
E02004280,0,0,0,0,2,2,8,11
E02004281,0,0,0,0,0,2,1,5
E02004282,0,0,0,0,0,5,15,17
E02004283,0,15,0,3,6,5,2,6
E02004284,0,0,0,1,9,7,12,9
E02004285,0,0,6,4,5,5,5,10
E02004286,0,0,0,0,4,4,4,6
E02004287,0,0,0,0,1,1,1,1
E02004288,0,151,200,258,209,95,31,2
E02004289,0,0,0,0,0,0,0,0
E02004600,0,1,0,4,2,0,0,0
E02004601,0,126,2,0,0,2,1,2
E02004602,0,3,2,9,5,6,9,13
E02004603,0,202,11,0,3,0,0,0
E02004604,0,0,1,4,1,0,11,4
E02004605,0,0,0,0,0,0,0,0
E02004606,3,2,3,15,20,9,10,10
E02004607,0,13,6,1,2,1,6,6
E02004608,130,95,14,29,15,3,22,35
E02004609,0,0,0,1,5,1,11,13
E02004610,86,167,10,12,8,2,5,4
E02004611,0,0,0,1,2,3,9,7
E02004612,0,0,0,0,0,0,0,0
E02004613,0,0,3,0,3,0,5,5
E02004614,0,0,2,13,6,2,6,10
E02004615,0,0,0,0,0,1,4,3
E02004616,0,0,0,0,2,0,5,11
E02004617,0,0,0,0,1,5,3,5
E02004618,10,51,3,0,0,0,0,0
E02004619,0,0,0,1,3,1,5,2
E02004620,0,0,0,0,0,0,0,0
E02004621,0,87,1,1,0,0,3,16
E02004622,0,20,38,21,0,3,11,16
E02004623,7,0,0,1,2,1,0,2
E02004624,0,0,0,0,0,0,7,0
E02004625,2,1,2,7,2,3,3,2
E02004626,2,342,9,15,14,8,2,2
E02004627,0,0,1,1,4,1,1,1
E02004628,0,0,0,1,1,4,11,3
E02004629,4,1,3,5,6,0,0,0
E02004630,0,2,16,16,39,6,15,13
E02004631,0,2,2,3,6,0,5,3
E02004632,0,2,0,5,2,0,2,4
E02004633,1,1,0,1,2,0,0,0
E02004634,0,0,0,1,4,5,1,4
E02004635,5,170,120,14,6,5,3,4
E02004636,0,68,1,0,0,0,0,0
E02004637,0,68,27,55,37,21,25,24
E02004638,0,0,0,2,6,7,11,11
E02004639,0,112,15,6,6,5,11,12
E02004640,0,0,0,1,1,0,0,0
E02004641,0,0,0,0,0,0,4,2
E02004642,0,6,0,8,12,0,1,0
E02004643,0,0,3,5,5,3,4,2
E02004644,0,0,0,1,5,1,3,1
E02004645,0,0,2,3,7,0,0,0
E02004646,0,3,24,32,6,2,3,4
E02004647,0,0,4,3,7,6,16,3
E02004648,0,0,3,2,3,1,0,0
E02004649,0,0,0,1,11,6,4,5
E02004650,0,0,1,1,5,3,2,0
E02004651,0,1,0,3,1,0,0,0
E02004652,0,2,3,7,4,2,3,1
E02004653,0,4,1,5,4,14,18,21
E02004654,1,2,4,1,4,3,13,12
E02004655,51,26,6,6,4,0,6,5
E02004656,0,15,3,2,5,3,2,0
E02004657,0,0,0,1,0,0,0,0
E02004658,0,0,0,0,0,0,0,0
E02004659,0,0,0,0,1,0,2,2
E02004660,13,11,0,9,15,2,3,5
E02004661,0,0,0,0,0,0,0,0
E02004662,1,0,0,0,2,8,9,5
E02004663,6,0,0,4,16,0,6,7
E02004664,0,0,0,0,0,3,5,8
E02004665,2,3,0,2,0,1,5,7
E02004666,0,0,0,4,2,2,11,13
E02004667,0,2,9,7,5,2,1,0
E02004668,0,1,0,0,0,0,1,0
E02004669,0,0,0,0,0,1,1,4
E02004671,0,0,1,4,3,2,2,0
E02004672,0,44,38,28,5,0,0,4
E02004673,0,2,1,5,5,2,8,11
E02004674,0,0,0,0,6,9,25,8
E02006047,0,1,0,0,0,4,4,3
E02006048,47,65,1,3,4,2,2,1
E02006049,3,0,0,0,1,5,6,6
E02006050,0,0,0,0,0,3,7,10
E02006051,32,48,3,2,6,5,2,7
E02006052,0,6,9,14,15,12,13,16
E02006053,0,0,0,0,0,2,6,3
E02006054,0,0,0,0,0,0,2,6
E02006055,0,0,1,0,3,0,7,5
E02006056,11,0,2,4,1,0,6,6
E02006057,46,1,2,4,7,8,9,7
E02006058,186,259,7,10,3,1,2,8
E02006059,0,0,0,0,1,0,1,7
E02006060,0,0,0,0,1,1,6,7
E02006061,0,2,7,9,16,3,7,14
E02006062,0,2,19,24,13,5,4,10
E02006063,0,0,0,0,0,0,0,0
E02006064,0,1,2,7,13,12,24,39
E02006065,0,1,0,6,7,1,0,0
E02006066,0,0,0,0,0,0,0,0
E02006067,97,76,0,2,2,0,2,4
E02006068,0,1,0,0,0,1,0,4
E02006069,0,2,4,25,17,6,4,9
E02006070,0,0,0,0,2,4,8,7
E02006071,0,0,4,11,3,7,11,11
E02006072,1,0,0,2,0,0,0,3
E02006073,0,1,1,9,4,2,5,5
E02006074,0,0,3,2,4,2,7,7
E02006075,68,47,5,3,5,0,0,0
E02006076,0,0,0,9,2,2,10,31
