Name,Violence against the person,Sexual offences,Criminal damage and arson,Drug offences,Possession of weapons,Public order offences,Miscellaneous crimes against society,Summary offences,Offence not recorded,area,msoa
Ashfield,4,383,*,*,*,*,6,3,*,E00189531,E02003108
Bristol,121,35,25,90,15,19,17,38,28,E00073274,E02003027
Channings Wood,164,178,9,101,23,15,36,22,*,E00165900,E02004213
Dartmoor,164,270,13,48,6,4,12,3,*,E00180228,E02004231
Eastwood Park,123,11,17,65,13,6,18,17,4,E00075710,E02003090
Erlestoke,242,*,10,72,12,*,4,4,*,E00184186,E02006639
Exeter,107,35,17,71,18,15,24,44,3,E00180166,E02004152
Guys Marsh,164,*,14,116,19,7,6,4,*,E00183057,E02004259
Leyhill,108,256,6,42,5,*,9,*,*,E00173069,E02003092
Portland,127,*,*,128,30,7,33,19,1,E00171471,E02004288
zzz The Verne IRC/HMP (Aug 18-),8,543,*,*,*,*,8,*,*,E00171474,E02004288
