msoa,staff/owner,staff/owner's relative,temporary/visiting
E02002985,0,3,0
E02002986,0,0,0
E02002987,0,1,0
E02002988,5,0,0
E02002989,0,0,0
E02002990,0,0,1
E02002991,24,0,18
E02002992,4,0,1
E02002993,8,0,11
E02002994,10,5,4
E02002995,0,0,2
E02002996,12,11,35
E02002997,0,0,9
E02002998,8,0,0
E02002999,0,0,0
E02003000,13,1,1
E02003001,7,3,1
E02003002,11,6,0
E02003003,0,0,1
E02003004,5,0,1
E02003005,3,0,0
E02003006,0,0,9
E02003007,0,0,0
E02003008,0,0,2
E02003009,0,0,0
E02003010,0,0,0
E02003011,0,0,1
E02003012,0,0,1
E02003013,2,0,16
E02003014,0,0,0
E02003015,0,0,0
E02003016,0,2,0
E02003017,0,2,0
E02003018,0,0,0
E02003019,0,0,0
E02003020,13,5,1
E02003021,0,0,1
E02003022,0,0,0
E02003023,0,2,3
E02003024,1,0,3
E02003025,2,6,0
E02003026,1,0,11
E02003027,0,2,25
E02003028,0,0,13
E02003029,0,0,0
E02003030,0,1,2
E02003031,0,0,2
E02003032,0,0,1
E02003033,2,3,0
E02003036,0,0,21
E02003037,3,0,1
E02003038,0,0,0
E02003039,4,0,7
E02003040,0,0,0
E02003041,0,0,10
E02003044,0,0,0
E02003045,0,0,5
E02003046,0,1,0
E02003047,0,0,0
E02003048,0,0,1
E02003049,0,10,0
E02003050,0,0,14
E02003051,0,0,0
E02003052,0,0,0
E02003053,0,0,0
E02003054,0,0,12
E02003055,0,0,0
E02003056,0,0,0
E02003057,0,0,0
E02003058,0,0,0
E02003059,0,0,0
E02003060,0,2,2
E02003061,0,0,0
E02003062,0,0,0
E02003063,0,0,0
E02003064,0,0,0
E02003065,0,0,2
E02003066,0,0,0
E02003067,3,0,0
E02003068,0,0,0
E02003069,0,0,1
E02003070,0,0,0
E02003071,0,0,0
E02003072,0,0,0
E02003073,0,0,0
E02003074,0,0,0
E02003075,1,0,0
E02003076,0,0,0
E02003077,1,0,0
E02003078,0,0,0
E02003079,0,0,0
E02003080,0,0,0
E02003081,0,0,0
E02003082,15,18,5
E02003084,21,0,5
E02003085,0,0,0
E02003086,2,1,0
E02003087,0,0,0
E02003088,5,3,3
E02003089,0,0,0
E02003090,10,5,6
E02003091,0,0,0
E02003092,25,2,10
E02003093,4,3,8
E02003094,0,0,1
E02003095,0,0,0
E02003096,0,3,0
E02003097,0,0,0
E02003098,0,0,0
E02003099,0,0,0
E02003101,0,0,0
E02003102,5,0,0
E02003103,0,0,0
E02003104,0,0,0
E02003105,0,0,0
E02003107,0,0,0
E02003108,1,0,3
E02003109,0,0,0
E02003110,0,0,0
E02003111,0,1,0
E02003112,0,0,0
E02003113,13,2,0
E02003114,1,0,0
E02003115,0,0,0
E02003116,0,0,0
E02003117,0,0,0
E02003118,0,0,0
E02003119,0,0,0
E02003120,0,0,0
E02003121,0,0,0
E02003122,0,0,0
E02003123,0,0,0
E02003124,0,0,0
E02003125,0,0,0
E02003126,0,0,2
E02003127,0,0,1
E02003128,0,5,0
E02003129,0,0,0
E02003130,0,0,0
E02003131,0,0,0
E02003132,0,0,0
E02003133,0,0,0
E02003134,0,0,0
E02003135,0,0,3
E02003136,0,32,1
E02003137,0,2,5
E02003138,0,0,0
E02003139,0,0,0
E02003140,0,0,0
E02003141,0,0,1
E02003142,0,0,0
E02003143,0,0,0
E02003144,10,1,8
E02003145,0,1,6
E02003146,0,0,4
E02003147,14,0,2
E02003148,9,1,46
E02003149,0,0,1
E02003151,0,0,0
E02003152,0,1,3
E02003153,0,0,0
E02003154,0,0,0
E02003155,1,0,0
E02003156,0,0,0
E02003157,8,0,0
E02003158,0,0,0
E02003159,0,0,0
E02003161,46,15,15
E02003163,14,11,4
E02003164,1,6,0
E02003165,0,0,0
E02003166,0,0,0
E02003167,24,5,5
E02003168,2,1,0
E02003169,0,0,0
E02003170,4,1,0
E02003171,0,0,0
E02003172,0,0,0
E02003173,0,0,0
E02003174,0,0,0
E02003175,0,0,0
E02003176,0,0,0
E02003177,0,0,0
E02003178,0,0,0
E02003179,0,0,1
E02003180,0,0,5
E02003181,0,0,0
E02003182,12,0,1
E02003183,5,3,1
E02003184,0,0,0
E02003185,2,0,0
E02003186,0,0,0
E02003187,6,1,2
E02003188,0,0,25
E02003189,5,2,1
E02003190,4,0,8
E02003191,0,0,0
E02003192,16,4,82
E02003194,4,2,2
E02003195,0,0,0
E02003196,0,0,0
E02003197,0,0,0
E02003198,0,0,1
E02003199,2,0,0
E02003200,0,0,0
E02003201,0,0,0
E02003202,0,0,1
E02003203,0,0,0
E02003204,0,0,0
E02003205,0,0,0
E02003206,0,0,0
E02003207,3,0,2
E02003208,2,1,30
E02003209,0,0,0
E02003210,2,3,5
E02003211,13,3,5
E02003212,0,0,4
E02003214,0,0,0
E02003215,0,0,8
E02003216,0,0,0
E02003217,0,0,0
E02003218,0,0,0
E02003219,12,0,0
E02003220,0,0,1
E02003221,0,0,0
E02003222,0,0,0
E02003223,0,0,0
E02003224,0,0,0
E02003225,1,0,1
E02003226,0,0,0
E02003227,0,0,0
E02003228,0,0,0
E02003229,0,0,0
E02003230,0,2,18
E02003231,0,0,0
E02003232,1,0,4
E02003233,0,0,0
E02003234,0,0,0
E02003235,0,0,0
E02003236,0,1,1
E02003892,0,0,0
E02003893,0,0,0
E02003894,0,0,0
E02003895,0,0,0
E02003896,1,1,0
E02003897,0,0,1
E02003898,3,0,0
E02003899,0,0,0
E02003900,0,0,0
E02003901,22,0,1
E02003902,2,0,0
E02003903,0,1,1
E02003904,19,0,0
E02003905,4,6,0
E02003906,13,1,0
E02003907,5,1,0
E02003908,4,8,1
E02003909,2,0,22
E02003910,7,2,6
E02003911,0,0,0
