Name,Remand,Sentenced,Non-criminal,area,msoa
Birmingham,628,322,19,E00175650,E02001879
Brinsford,130,294,11,E00171615,E02006179
Dovegate,176,978,4,E00168365,E02006136
Drake Hall,*,267,2,E00151321,E02006192
Featherstone,1,659,*,E00171615,E02006179
Hewell,344,528,16,E00181370,E02006709
Long Lartin,5,487,*,E00171600,E02006758
Oakwood,*,2053,5,E00171615,E02006179
Stafford,*,708,2,E00179354,E02006196
Stoke Heath,1,701,5,E00187256,E02006020
Swinfen Hall,*,551,*,E00180753,E02006157
Werrington,34,48,*,E00151745,E02006212
