msoa,Aged 0 to 15,Aged 16 to 24,Aged 25 to 34,Aged 35 to 49,Aged 50 to 64,Aged 65 to 74,Aged 75 to 84,Aged 85 and over
E02001827,0,0,0,0,0,2,3,7
E02001828,0,0,0,0,0,0,2,1
E02001829,0,0,0,0,0,0,0,0
E02001830,0,5,4,3,2,0,10,10
E02001831,0,0,0,0,4,0,4,2
E02001832,0,0,0,0,3,1,2,0
E02001833,0,0,0,0,0,0,0,0
E02001834,0,0,0,0,0,0,0,0
E02001835,0,19,1,12,14,12,12,19
E02001836,7,5,21,12,5,4,2,2
E02001837,0,0,0,0,0,0,0,2
E02001838,0,0,0,0,8,2,12,3
E02001839,0,0,0,0,0,1,0,4
E02001840,0,0,0,0,14,0,5,3
E02001841,0,0,0,0,7,4,6,11
E02001842,1,0,0,0,0,0,0,0
E02001843,0,0,0,0,0,0,0,0
E02001844,2,0,2,11,28,36,40,28
E02001845,0,0,0,0,0,0,0,0
E02001846,0,4,3,6,3,0,0,0
E02001847,0,0,0,0,0,0,0,0
E02001848,0,0,0,0,2,7,15,12
E02001849,0,0,0,4,6,5,0,0
E02001850,0,0,5,3,8,2,0,0
E02001851,0,1,1,1,11,1,4,9
E02001852,0,2,0,2,7,0,0,0
E02001855,0,0,0,1,4,17,14,10
E02001856,0,1,6,6,6,0,0,4
E02001857,1,24,19,46,44,18,11,7
E02001858,7,164,88,45,44,10,0,0
E02001859,0,2,8,4,14,13,14,6
E02001860,0,0,1,0,0,0,0,0
E02001861,0,0,3,3,17,1,0,0
E02001862,0,0,1,7,10,7,10,6
E02001863,2,5,19,27,8,0,0,0
E02001865,0,0,2,3,0,0,0,0
E02001866,2,1,3,9,15,12,5,1
E02001867,0,1,4,9,1,0,0,0
E02001868,0,0,0,0,2,0,0,0
E02001869,0,0,1,0,0,0,0,0
E02001870,0,0,0,1,14,22,24,7
E02001871,0,0,0,0,5,0,2,8
E02001872,0,2,6,0,0,3,1,3
E02001873,14,4,12,22,26,14,1,0
E02001874,0,1,1,3,8,0,0,0
E02001875,0,0,1,7,7,0,0,0
E02001876,45,2777,156,41,11,1,1,0
E02001877,0,33,13,0,2,0,0,0
E02001878,0,19,8,1,2,0,0,0
E02001879,0,60,181,144,41,18,27,15
E02001880,0,0,0,3,3,0,1,0
E02001881,0,5,6,20,3,4,0,0
E02001882,0,0,0,6,3,3,8,6
E02001883,0,0,0,0,0,0,0,0
