Prison,Predominant Function,Designation,Postcode,area,msoa,total communal residents,other_prison_service
Birmingham,Reception,Prison,B184AS,E00175650,E02001879,615,484.0
Brinsford,Cat C,Dual Designated Prison,WV107PY,E00171615,E02006179,3071,3070.0
Dovegate,Cat B,Prison,ST148XR,E00168365,E02006136,979,979.0
Drake Hall,Female,Dual Designated Prison,ST216LQ,E00151321,E02006192,227,227.0
Featherstone,Cat C,Prison,WV107PU,E00171615,E02006179,3071,3070.0
Hewell,Reception,Prison,B976QS,E00181370,E02006709,502,502.0
Long Lartin,High Security,Prison,WR118TZ,E00171600,E02006758,509,509.0
Oakwood,Cat C,Prison,WV107QD,E00171615,E02006179,3071,3070.0
Stafford,Cat C,Prison,ST163AW,E00179354,E02006196,654,654.0
Stoke Heath,Cat C,Dual Designated Prison,TF92JL,E00187256,E02006020,694,691.0
Swinfen Hall,Cat C,Dual Designated Prison,WS149QS,E00180753,E02006157,549,549.0
Werrington,YCS YOI,Young Offender Institution,ST90DX,E00151745,E02006212,81,56.0
