msoa,staff/owner,staff/owner's relative,temporary/visiting
E02001827,0,0,0
E02001828,0,0,0
E02001829,0,0,0
E02001830,0,0,0
E02001831,0,0,0
E02001832,3,0,0
E02001833,0,0,0
E02001834,0,0,0
E02001835,2,6,0
E02001836,1,0,10
E02001837,1,0,0
E02001838,0,0,0
E02001839,0,0,0
E02001840,0,0,4
E02001841,0,0,1
E02001842,0,0,0
E02001843,0,0,2
E02001844,2,0,3
E02001845,0,0,0
E02001846,0,0,2
E02001847,11,0,0
E02001848,1,0,0
E02001849,0,0,1
E02001850,0,0,0
E02001851,0,0,0
E02001852,0,0,1
E02001855,1,0,0
E02001856,0,1,11
E02001857,1,0,51
E02001858,0,0,10
E02001859,2,0,14
E02001860,0,0,0
E02001861,0,0,0
E02001862,0,0,0
E02001863,1,0,5
E02001865,0,0,0
E02001866,0,0,6
E02001867,0,0,13
E02001868,0,0,0
E02001869,0,0,1
E02001870,0,0,0
E02001871,0,0,0
E02001872,0,0,0
E02001873,0,0,3
E02001874,0,0,2
E02001875,0,0,0
E02001876,3,0,229
E02001877,0,0,2
E02001878,0,2,0
E02001879,1,7,49
E02001880,0,0,0
E02001881,0,0,0
E02001882,0,0,2
E02001883,0,0,0
E02001884,0,0,2
E02001886,1,0,36
E02001888,0,0,0
E02001889,0,0,1
E02001890,4,1,107
E02001892,6,0,2
E02001893,0,0,3
E02001895,0,0,0
E02001896,0,0,0
E02001897,0,0,38
E02001898,0,0,0
E02001899,5,0,0
E02001900,0,0,2
E02001901,0,0,15
E02001902,0,0,2
E02001903,0,0,1
E02001904,0,0,0
E02001905,11,1,33
E02001906,0,0,0
E02001907,0,0,0
E02001908,0,0,7
E02001909,0,0,2
E02001910,0,0,0
E02001911,0,0,0
E02001913,0,0,7
E02001914,0,0,0
E02001915,0,2,5
E02001916,0,0,57
E02001918,0,0,6
E02001919,0,0,3
E02001920,0,0,0
E02001921,0,0,0
E02001922,0,0,35
E02001923,2,0,2
E02001924,0,0,0
E02001925,0,0,0
E02001926,1,4,3
E02001927,0,2,0
E02001928,0,0,3
