Location ID,Location HSCA start date,Care home?,Location Name,Location Region,Location Local Authority,Location Street Address,Location City,Location Postal Code,Location Latitude,Location Longitude,Location Parliamentary Constituency,Provider Nominated Individual Name,"Regulated activity - Treatment of disease, disorder or injury",Service type - Care home service with nursing,Service type - Care home service without nursing,Service user band - Children 0-18 years,Service user band - Dementia,Service user band - Learning disabilities or autistic spectrum disorder,Service user band - Mental Health,Service user band - Older People,Service user band - Physical Disability,Service user band - Sensory Impairment,Service user band - Younger Adults,num_values_found,num_values_found.1,lad,msoa,area,Care homes beds,occupancy_mean,%occupancy_mean,probability_mean,occupancy_std,%occupancy_std,probability_std
1-1034153843,2013-11-29,Y,35 Priory Grove,Yorkshire and The Humber,"Kingston upon Hull, City of",Gipsyville,Hull,HU4 6LX,53.7328,-0.394911,Kingston upon Hull West and Hessle,"Short, Monique",,,Y,,Y,Y,,,Y,Y,Y,2,2,E06000010,E02002682,E00064984,4,2.0,62.0,0.92645,2.0,53.033,0.10135
1-108380542,2011-01-10,Y,Beverley Court Residential Home,Yorkshire and The Humber,"Kingston upon Hull, City of",334-336 Beverley Road,Hull,HU5 1LH,53.762451,-0.350255,Kingston upon Hull North,"Lane, Dawn",,,Y,,Y,,,Y,,,,3,3,E06000010,E02002675,E00170741,30,28.0,94.0,0.93646,2.0,5.0918,0.07822
1-111027290,2011-05-25,Y,Eastfield Residential Home,Yorkshire and The Humber,"Kingston upon Hull, City of",Wawne Road,Hull,HU7 5YS,53.802525,-0.332146,Kingston upon Hull North,"Lang, Andrew",,,Y,,,,Y,,,,,6,6,E06000010,E02007079,E00064450,25,24.0,94.0,0.95017,1.0,3.3466,0.04647
1-111140968,2011-01-19,Y,St Marys Nursing Home,Yorkshire and The Humber,"Kingston upon Hull, City of",344 Chanterlands Avenue,Hull,HU5 4DT,53.76202,-0.373111,Kingston upon Hull North,"Fogg, Joanne",Y,Y,,,,,,Y,Y,,,5,5,E06000010,E02002665,E00064521,48,46.0,96.0,0.92712,3.0,5.3115,0.02596
1-112290335,2010-12-21,Y,Somerville House,Yorkshire and The Humber,"Kingston upon Hull, City of",262-264 Boulevard,Hull,HU3 3ED,53.736222,-0.364155,Kingston upon Hull West and Hessle,*,,,Y,,Y,,Y,Y,,,,3,3,E06000010,E02002681,E00065037,18,17.0,96.0,0.96591,1.0,3.2075,0.0128
1-112368642,2010-12-22,Y,Bridlington House,Yorkshire and The Humber,"Kingston upon Hull, City of",4 Bridlington Avenue,Hull,HU2 0DU,53.751074,-0.340501,Kingston upon Hull West and Hessle,*,,,Y,,,,Y,,,,,4,4,E06000010,E02002680,E00189199,22,17.0,77.0,0.96032,1.0,6.4282,0.03932
1-112890651,2010-12-14,Y,Sutton Village Care Home,Yorkshire and The Humber,"Kingston upon Hull, City of",30 Church Street,Hull,HU7 4TA,53.780756,-0.305356,Kingston upon Hull East,"McWilliam, Mark",,,Y,,Y,,,Y,,,,1,1,E06000010,E02002658,E00065118,33,29.0,88.0,0.83513,,,
1-113585454,2010-12-14,Y,Beech Lawn Care Home,Yorkshire and The Humber,"Kingston upon Hull, City of",48 College Street,Hull,HU7 4UP,53.779494,-0.304481,Kingston upon Hull East,"Hudson, John",,,Y,,Y,,Y,Y,,,,3,3,E06000010,E02002658,E00065115,28,19.0,68.0,0.93868,1.0,3.5714,0.05173
1-113591797,2010-12-09,Y,Hadley Place Residential Home,Yorkshire and The Humber,"Kingston upon Hull, City of",301-303 Anlaby Road,Hull,HU3 2SB,53.743085,-0.363812,Kingston upon Hull West and Hessle,"Hammond, Jean",,,Y,,Y,,Y,Y,,,,4,4,E06000010,E02002681,E00065022,29,23.0,80.0,0.83263,2.0,8.148,0.212
1-114079791,2010-11-18,Y,Haworth Court Residential Home,Yorkshire and The Humber,"Kingston upon Hull, City of",Emmott Road,Hull,HU6 7AB,53.787851,-0.351323,Kingston upon Hull North,"Selliah, Rabindranath",,,Y,,Y,,,Y,,,,3,3,E06000010,E02002656,E00064379,37,31.0,83.0,0.94177,2.0,6.2416,0.05455
1-1150430896,2014-02-03,Y,Avocet Trust - 20-22 Middlesex Road,Yorkshire and The Humber,"Kingston upon Hull, City of",20-22 Middlesex Road,Hull,HU8 0RB,53.773597,-0.286622,Kingston upon Hull East,"Short, Monique",,,Y,,,Y,,Y,Y,,Y,3,3,E06000010,E02002662,E00189204,9,6.0,70.0,0.99876,1.0,12.83,0.00056
1-1150483630,2014-02-03,Y,Avocet Trust - 22a-26 Middlesex Road,Yorkshire and The Humber,"Kingston upon Hull, City of",22a-26 Middlesex Road,Hull,HU8 0RB,53.773597,-0.286622,Kingston upon Hull East,"Short, Monique",,,Y,,,Y,,Y,Y,,Y,5,5,E06000010,E02002662,E00189204,6,6.0,93.0,0.99908,1.0,9.1287,0.0
