Name,Remand,Sentenced,Non-criminal,area,msoa
Askham Grange,*,83,*,E00067761,E02002782
Doncaster,364,745,25,E00038161,E02001560
Full Sutton,1,566,*,E00175339,E02002692
Hatfield,*,281,*,E00038290,E02001546
Hull,351,641,23,E00170747,E02002671
Humber,*,944,1,E00185508,E02002709
Leeds,517,546,42,E00170041,E02002400
Lindholme,*,913,*,E00172382,E02001546
Moorland,*,913,15,E00172382,E02001546
New Hall,80,253,2,E00168748,E02002472
Wakefield,3,707,*,E00179981,E02002456
Wealstun,*,797,*,E00170593,E02002331
Wetherby,44,103,*,E00059025,E02002331
