Name,A Asian / Asian British,B Black / African / Caribbean / Black British,C Mixed / Multiple ethnic groups,D Other ethnic group,E White,F Not recorded,G Not stated,area,msoa
Askham Grange,*,*,4,*,74,*,*,E00067761,E02002782
Doncaster,105,62,40,21,904,2,*,E00038161,E02001560
Full Sutton,74,57,22,12,402,*,*,E00175339,E02002692
Hatfield,68,18,14,3,177,1,*,E00038290,E02001546
Hull,45,33,30,9,858,37,3,E00170747,E02002671
Humber,40,29,23,*,848,*,*,E00185508,E02002709
Leeds,170,50,34,28,819,*,*,E00170041,E02002400
Lindholme,144,100,56,3,608,2,*,E00172382,E02001546
Moorland,103,56,35,*,712,1,*,E00172382,E02001546
New Hall,17,*,13,*,293,1,*,E00168748,E02002472
Wakefield,73,51,22,5,555,*,*,E00179981,E02002456
Wealstun,127,29,35,*,603,*,*,E00170593,E02002331
Wetherby,8,20,14,5,100,*,*,E00059025,E02002331
