msoa,Aged 0 to 15,Aged 16 to 24,Aged 25 to 34,Aged 35 to 49,Aged 50 to 64,Aged 65 to 74,Aged 75 to 84,Aged 85 and over
E02001509,0,0,0,0,3,3,10,26
E02001510,0,0,0,0,0,0,0,0
E02001511,0,0,0,0,0,6,10,5
E02001512,0,2,4,1,3,3,43,70
E02001513,0,0,0,0,0,1,9,15
E02001514,0,2,4,4,22,11,13,18
E02001515,0,0,0,0,2,2,5,5
E02001516,0,0,0,0,0,4,13,29
E02001517,0,0,0,0,0,0,9,13
E02001518,0,0,0,0,2,3,10,20
E02001519,0,0,0,5,23,5,13,15
E02001520,0,0,0,0,1,3,8,7
E02001521,0,1,0,0,2,1,4,5
E02001522,0,4,1,2,1,2,22,23
E02001523,0,0,0,0,0,2,7,15
E02001524,0,1,2,0,0,0,0,0
E02001525,0,0,0,4,4,11,12,25
E02001526,0,0,0,2,2,0,0,0
E02001527,0,1,1,3,3,5,11,23
E02001528,0,0,2,0,5,5,11,20
E02001529,0,3,1,8,4,9,23,53
E02001530,0,0,0,0,0,0,0,0
E02001531,0,4,4,2,1,2,0,0
E02001532,0,0,0,0,0,3,4,20
E02001533,0,0,0,0,0,4,16,22
E02001534,0,0,0,0,0,2,5,8
E02001535,0,2,0,0,0,0,0,0
E02001536,0,0,0,0,0,3,18,41
E02001537,0,0,0,0,0,1,2,7
E02001538,0,0,0,0,0,0,4,10
E02001539,0,0,0,0,0,0,0,0
E02001540,3,2,5,0,0,0,6,17
E02001541,0,0,3,3,7,3,11,28
E02001542,0,0,0,0,7,2,5,8
E02001543,0,0,0,0,0,1,7,16
E02001544,0,0,0,0,0,3,11,19
E02001545,0,0,0,0,0,0,0,0
E02001546,0,0,1,5,2,3,10,29
E02001547,0,0,0,1,1,7,24,42
E02001548,0,0,0,1,1,0,5,8
E02001549,0,0,0,0,0,0,0,0
E02001550,1,0,0,3,4,4,1,0
E02001551,0,0,0,1,0,0,0,0
E02001552,0,1,2,0,0,5,16,42
E02001553,0,0,0,0,2,0,0,1
E02001554,0,0,0,0,0,0,0,0
E02001555,0,0,0,0,0,1,9,15
E02001556,0,0,4,1,1,0,0,0
E02001557,0,6,5,6,8,14,22,37
E02001558,0,0,0,0,0,0,0,0
E02001559,2,3,5,6,0,5,16,15
E02001560,0,41,9,15,8,2,0,0
E02001561,0,0,0,2,3,0,0,0
E02001562,0,1,0,0,0,4,6,10
E02001563,0,0,0,0,0,6,16,51
E02001564,0,0,0,0,0,0,2,4
E02001565,0,2,3,6,4,1,4,19
E02001566,0,0,0,0,0,0,0,0
E02001567,0,2,0,3,1,4,3,20
E02001568,0,0,0,0,0,0,0,0
