msoa,Aged 0 to 15,Aged 16 to 24,Aged 25 to 34,Aged 35 to 49,Aged 50 to 64,Aged 65 to 74,Aged 75 to 84,Aged 85 and over
E02001509,0,1,1,0,4,0,3,4
E02001510,0,0,0,0,0,0,0,0
E02001511,0,0,0,0,0,4,12,6
E02001512,0,3,0,0,1,9,15,15
E02001513,0,0,0,0,0,0,0,1
E02001514,0,2,0,7,11,6,5,2
E02001515,0,0,0,0,2,2,7,1
E02001516,0,3,0,7,5,3,3,2
E02001517,0,2,1,1,2,0,4,8
E02001518,0,1,2,1,6,8,6,8
E02001519,0,0,3,6,6,7,7,5
E02001520,0,0,0,3,0,1,3,3
E02001521,0,1,2,5,3,5,3,1
E02001522,1,7,0,4,2,6,2,10
E02001523,0,0,0,0,4,4,6,5
E02001524,0,0,6,1,0,0,0,0
E02001525,0,1,13,18,17,7,11,9
E02001526,0,1,0,3,7,11,3,0
E02001527,0,0,2,0,0,2,4,10
E02001528,0,2,9,5,5,9,4,6
E02001529,0,0,2,6,3,11,16,13
E02001530,0,0,0,0,0,0,0,0
E02001531,0,11,19,2,1,2,0,0
E02001532,0,0,0,0,0,2,1,10
E02001533,0,0,0,0,0,2,9,9
E02001534,0,0,0,0,0,2,1,0
E02001535,0,0,0,1,0,0,0,0
E02001536,0,0,0,0,1,3,4,7
E02001537,0,0,0,0,0,0,0,0
E02001538,0,1,0,0,0,0,0,1
E02001539,0,0,0,0,0,0,0,0
E02001540,0,0,2,0,0,0,3,4
E02001541,0,9,9,7,12,5,12,8
E02001542,0,0,0,0,4,2,5,1
E02001543,0,0,0,5,0,1,4,6
E02001544,0,0,0,0,0,3,5,11
E02001545,0,0,0,0,0,0,0,0
E02001546,0,211,723,676,250,50,17,5
E02001547,0,0,0,2,0,6,8,10
E02001548,0,0,2,1,0,0,0,6
E02001549,0,0,0,0,0,0,0,0
E02001550,0,2,0,3,2,0,0,0
E02001551,0,2,4,8,2,0,0,0
E02001552,0,3,0,1,3,4,10,10
E02001553,0,0,0,0,0,0,0,0
E02001554,0,0,0,0,0,0,0,0
E02001555,0,0,0,0,1,0,2,5
E02001556,0,0,10,3,0,0,1,0
E02001557,1,7,8,12,5,22,23,13
E02001558,0,1,0,0,0,0,0,0
E02001559,2,10,20,13,10,1,4,4
E02001560,0,194,269,229,86,24,14,2
E02001561,0,3,1,7,2,0,0,0
E02001562,0,4,1,0,1,2,3,4
E02001563,0,0,0,0,0,1,10,18
E02001564,0,0,0,0,0,0,0,0
E02001565,0,0,6,1,1,1,1,2
E02001566,0,3,3,7,2,0,0,0
E02001567,0,0,3,3,3,2,7,3
E02001568,0,0,0,0,0,0,0,0
E02001569,0,0,2,1,0,6,11,17
E02001570,9,7,3,12,6,2,5,3
E02001571,9,17,0,0,0,0,0,0
E02001572,0,2,6,13,14,6,3,5
E02001573,0,5,0,0,2,0,1,2
E02001574,1,0,0,0,0,0,0,0
E02001575,0,0,0,0,3,9,26,12
E02001576,0,0,0,0,0,0,0,0
E02001577,0,9,28,23,1,2,2,4
E02001578,0,0,5,2,6,3,9,7
E02001579,0,0,19,20,12,0,4,9
E02001580,0,0,0,0,3,9,9,4
E02001581,0,0,3,3,0,0,0,0
E02001582,0,0,0,0,8,2,2,1
E02001583,0,0,0,0,0,1,0,0
E02001584,0,0,0,0,0,0,2,3
E02001585,0,0,3,13,22,12,8,7
E02001586,0,0,2,9,7,1,3,1
E02001587,0,0,1,3,6,6,6,3
E02001588,0,0,0,0,0,7,3,6
E02001589,0,0,0,3,0,0,0,0
E02001590,0,0,3,0,0,1,6,2
E02001591,0,0,0,1,5,12,10,0
