Prison,Predominant Function,Designation,Postcode,area,msoa,total communal residents,other_prison_service
Askham Grange,Female,Dual Designated Prison,YO233FT,E00067761,E02002782,104,104.0
Doncaster,Reception,Dual Designated Prison,DN58UX,E00038161,E02001560,813,813.0
Full Sutton,High Security,Prison,YO411PS,E00175339,E02002692,571,571.0
Hatfield,Open,Dual Designated Prison,DN76EL,E00038290,E02001546,221,2054.0
Hull,Reception,Dual Designated Prison,HU95LS,E00170747,E02002671,725,723.0
Humber,Cat C,Prison,HU152JZ,E00185508,E02002709,824,814.0
Leeds,Reception,Prison,LS122TJ,E00170041,E02002400,610,610.0
Lindholme,Cat C,Prison,DN76EE,E00172382,E02001546,1861,2054.0
Moorland,Cat C,Dual Designated Prison,DN76BW,E00172382,E02001546,1861,2054.0
New Hall,Female,Dual Designated Prison,WF44XX,E00168748,E02002472,224,222.0
Wakefield,High Security,Prison,WF29AG,E00179981,E02002456,692,692.0
Wealstun,Cat C,Prison,LS237AZ,E00170593,E02002331,716,805.0
Wetherby,YCS YOI,Young Offender Institution,LS225ED,E00059025,E02002331,89,805.0
