msoa,staff/owner,staff/owner's relative,temporary/visiting
E02001509,0,0,1
E02001510,0,0,0
E02001511,0,0,0
E02001512,0,0,0
E02001513,0,0,0
E02001514,0,0,1
E02001515,0,0,0
E02001516,1,0,0
E02001517,0,0,0
E02001518,0,0,0
E02001519,0,1,0
E02001520,0,0,0
E02001521,1,0,0
E02001522,0,0,0
E02001523,0,11,0
E02001524,0,0,0
E02001525,0,0,0
E02001526,0,0,0
E02001527,0,0,0
E02001528,40,0,0
E02001529,0,0,0
E02001530,0,0,0
E02001531,0,0,0
E02001532,0,0,0
E02001533,0,0,0
E02001534,0,0,0
E02001535,0,0,0
E02001536,0,0,1
E02001537,0,0,0
E02001538,0,0,0
E02001539,0,0,0
E02001540,0,0,0
E02001541,0,1,0
E02001542,0,0,0
E02001543,0,0,0
E02001544,0,0,0
E02001545,0,0,0
E02001546,6,22,127
E02001547,0,0,0
E02001548,0,0,0
E02001549,0,0,0
E02001550,0,0,0
E02001551,0,0,0
E02001552,1,0,0
E02001553,0,0,0
E02001554,0,0,0
E02001555,0,0,2
E02001556,3,0,0
E02001557,0,0,11
E02001558,0,0,0
E02001559,0,0,0
E02001560,0,17,63
E02001561,0,0,0
E02001562,0,0,0
E02001563,0,0,0
E02001564,0,3,1
E02001565,0,0,6
E02001566,0,0,0
E02001567,0,0,0
E02001568,0,0,0
E02001569,0,0,0
E02001570,0,0,0
E02001571,0,0,0
E02001572,0,0,0
E02001573,0,0,0
E02001574,0,0,0
E02001575,0,0,0
E02001576,0,0,0
E02001577,0,0,0
E02001578,0,2,0
E02001579,0,0,0
E02001580,0,0,0
E02001581,0,0,0
E02001582,0,0,0
E02001583,0,0,0
E02001584,0,0,0
E02001585,0,0,0
E02001586,0,0,0
E02001587,0,0,0
E02001588,0,0,0
E02001589,0,0,0
E02001590,9,0,0
E02001591,0,0,0
E02001592,0,0,0
E02001593,0,0,0
E02001594,0,0,2
E02001595,0,0,6
E02001596,8,0,0
E02001597,2,1,0
E02001598,0,0,0
E02001600,10,4,1
E02001602,0,0,0
E02001603,0,0,0
E02001604,0,2,1
E02001605,0,1,0
E02001606,0,0,0
E02001607,0,0,0
E02001608,0,0,0
E02001609,0,0,0
E02001610,0,0,0
E02001611,0,0,2
E02001612,0,0,0
E02001613,0,0,0
E02001614,0,0,9
E02001615,0,0,0
E02001616,0,0,0
E02001617,0,0,0
E02001618,0,0,2
E02001619,0,0,0
E02001620,0,0,1
E02001621,0,2,0
E02001622,0,0,0
E02001623,0,0,1
E02001624,0,0,0
E02001625,0,1,0
E02001626,0,0,0
E02001627,0,1,1
E02001628,0,0,2
E02001629,0,0,4
E02001630,0,4,2
E02001631,0,0,0
E02001632,0,0,2
E02001633,0,0,0
E02001634,0,0,2
E02001635,0,0,0
E02001636,2,1,4
E02001637,0,0,0
E02001638,0,0,0
E02001639,0,0,0
E02001640,0,0,0
E02001642,0,1,0
E02001643,0,0,0
E02001646,0,9,18
E02001647,0,0,0
E02001648,0,7,16
E02001649,0,0,0
E02001650,2,6,33
E02001651,0,0,0
E02001652,2,11,57
E02001653,0,0,16
E02001654,0,0,3
E02001655,0,0,1
E02001656,0,0,0
E02001657,0,0,0
E02001658,0,0,0
E02001659,0,0,0
E02001660,0,0,3
E02001661,0,0,0
E02001662,1,0,0
E02001663,0,0,0
E02001664,0,0,0
E02001665,0,0,0
E02001666,0,0,0
E02001669,0,0,0
E02001670,0,0,0
E02001671,0,0,0
E02001672,0,0,0
E02001673,0,0,0
E02001674,0,0,0
E02001675,0,0,0
E02001676,0,0,0
E02001678,0,0,0
E02001679,0,0,0
E02001680,0,0,0
E02001681,0,0,0
E02002183,0,0,0
E02002184,0,0,0
E02002185,0,0,0
E02002187,0,0,0
E02002188,0,0,0
E02002189,0,0,0
E02002190,0,0,0
E02002191,0,0,0
E02002192,0,0,0
E02002193,0,0,0
E02002194,0,0,0
E02002195,0,0,0
E02002196,0,2,0
E02002197,0,0,0
E02002198,0,0,0
E02002199,0,0,0
E02002200,0,0,0
E02002201,0,0,0
E02002202,0,0,0
E02002203,0,0,0
E02002204,0,0,0
E02002205,0,0,0
E02002206,0,0,0
E02002207,0,0,0
E02002208,0,0,0
E02002209,0,0,0
E02002210,0,0,0
E02002211,0,0,4
E02002212,0,0,14
E02002213,0,0,0
E02002214,0,0,0
E02002215,0,0,0
E02002216,0,2,0
E02002217,0,0,2
E02002218,0,0,0
E02002219,0,0,0
E02002220,0,0,0
E02002222,0,0,0
E02002223,0,0,0
E02002224,0,0,0
E02002225,0,0,0
E02002226,0,3,34
E02002227,0,0,0
E02002228,0,0,0
E02002229,15,0,0
E02002230,0,0,4
E02002231,0,0,0
E02002232,0,0,0
E02002233,0,0,0
E02002234,0,0,0
E02002235,0,0,0
E02002236,0,0,0
E02002237,0,0,0
E02002238,0,0,0
E02002239,0,0,0
E02002240,0,0,0
E02002241,0,0,0
E02002242,0,1,0
E02002243,0,0,3
E02002244,0,0,1
E02002245,0,0,0
E02002246,0,0,0
E02002247,0,0,0
E02002248,0,0,0
E02002249,0,0,0
E02002250,0,0,0
E02002251,11,0,6
E02002252,0,0,0
E02002253,0,0,0
E02002254,0,0,0
E02002255,0,0,0
E02002256,0,0,0
E02002257,0,0,0
E02002258,0,0,0
E02002259,0,0,0
E02002260,0,0,0
E02002261,0,0,0
E02002262,0,0,0
E02002263,0,0,0
E02002264,1,0,0
E02002265,1,2,0
E02002266,0,0,0
E02002267,0,0,0
E02002268,0,0,0
E02002269,0,0,6
E02002270,2,0,2
E02002271,0,0,0
E02002272,0,0,0
E02002273,0,1,0
E02002274,0,0,0
E02002275,0,0,0
E02002276,0,0,0
E02002277,0,0,1
E02002278,0,0,0
E02002279,0,0,0
E02002280,0,0,0
E02002281,4,0,2
E02002282,0,0,0
E02002283,0,0,0
E02002284,0,0,0
E02002285,0,0,0
E02002286,5,0,13
E02002287,0,0,0
E02002288,0,0,0
E02002289,0,0,0
E02002290,0,0,0
E02002291,0,0,5
