msoa,centroid_easting,centroid_northing,station,station_easting,station_northing,postcode,station_postcode_distance,distance_to_msoa_centroid
E02000001,532290.3638,181745.935900001,Barbican,532076.0,181867.5,EC1A4LL,1.514268218442661e-06,0.2458618548830598
E02000269,516974.458,179729.963099999,Northfields,517084.0,179163.5,W5  4TY,7.070625864650992e-06,0.5767060440622594
E02000213,532373.3222,166484.2918,West Croydon Tram ,532209.0,166143.5,CR9 2NZ,7.247392492528249e-06,0.37798538488755956
E02000487,556006.0844,185779.8433,Upminster Underground,556130.0,186865.0,RM142FF,3.2083555531703846e-06,1.0916009950958414
E02000881,538153.225,181605.4769,Langdon Park,537888.25,181449.0,E14 6UE,6.896714951191426e-06,0.30698351809998153
E02000784,522363.9622,177239.147399999,Ravenscourt Park,522544.5,178710.75,W6  0UX,1.0490165993726754e-05,1.4819955278523786
E02000932,525004.5972,175064.0777,East Putney,524395.0,174874.0,SW152SZ,2.6940350845396986e-06,0.6367619031150802
E02000712,525613.9317,167188.4812,Morden,525676.0,168557.25,SM4 5AZ,3.1242104036859157e-06,1.3696502303642983
E02000619,531175.0853,178718.0232,Kennington,531611.5,178294.5,SE114JQ,1.11537415572584e-05,0.6071156713203392
E02000747,539972.789,181177.898800001,Royal Victoria,540178.75,180861.5,E16 1BZ,9.650289137339372e-06,0.37709619078475337
E02004699,471378.3749,139234.396400001,Alton (Mid-Hantsway),472350.0,139700.0,GU342WT,1.5288544197820243e-05,1.0748634739125542
E02000654,536708.2353,177838.225400001,Deptford Bridge,537436.5,176890.5,SE8 4HP,8.612942858890848e-06,1.1936419398205405
E02000193,530244.1501,181559.255000001,Holborn,530525.0,181519.75,WC1V7DZ,3.543213843978532e-06,0.28278161317605954
E02000005,548629.9425,186875.2643,Dagenham Heathway,549031.5,184719.0,RM108QS,8.430810843136661e-06,2.192158702197488
E02001897,408508.6921,285408.7017,Corporation Street (Midland Metro ),407008.0,286816.5,B2  4PS,3.304993002689657e-06,2.054197959937456
E02000293,531845.5448,195539.4581,Southgate,529666.75,194277.5,N14 5BH,8.17817311868595e-06,2.511773489395701
E02000758,542871.3303,190488.954600001,Fairlop,544922.0,190598.0,IG6 3HD,1.0151784723414922e-05,2.04729064925534
E02000643,530395.8783,172803.3191,Balham,528464.875,173207.625,SW129DH,7.251787658469644e-06,1.9672274460582462
E02000577,524350.0819,182020.427999999,Westbourne Park,524921.0,181766.0,W11 1AB,5.274782293649609e-06,0.6234757509559322
E02000202,531524.7224,168329.048800001,Therapia Lane Tram ,530298.3333333334,166832.33333333334,CR0 3DD,1.632282062488653e-05,1.9320827830806668
E02000943,528468.6729,173705.6204,Balham,528464.875,173207.625,SW129DH,7.251787658469644e-06,0.49781535454267084
E02000583,524381.1435,180610.082699999,Holland Park,524626.5,180227.5,W11 3SN,8.034346963011398e-06,0.4540049473701916
E02000912,536776.4157,188133.9087,Walthamstow Central Underground,537290.0,188980.0,E17 7LS,1.365659982428203e-06,0.9885799729628665
